No,Device,Memory Used in MB,Memory Total in MB,Percentage,Category
5,xr2,2324.0,6144.0,37.83,low
3,xe3,250.49,2071.58,12.09,low
2,xe2,250.23,2071.58,12.08,low
1,xe1,256.45,2071.58,12.38,low
