Syslog logging: enabled (0 messages dropped, 3 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 206 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 206 message lines logged
        Logging Source-Interface:       VRF Name:
    TLS Profiles: 

Log Buffer (131072 bytes):

*Mar  2 05:10:05.580: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2, changed state to down
*Mar  2 05:10:06.456: %SYS-5-RESTART: System restarted --
Cisco IOS Software [Amsterdam], Virtual XE Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.5, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2022 by Cisco Systems, Inc.
Compiled Wed 09-Feb-22 10:35 by mcpre
*Mar  2 05:10:06.500: %SSH-5-ENABLED: SSH 2.0 has been enabled
*Mar  2 05:10:06.829: %CRYPTO-6-ISAKMP_ON_OFF: ISAKMP is OFF
*Mar  2 05:10:06.829: %CRYPTO-6-GDOI_ON_OFF: GDOI is OFF
*Mar  2 05:10:06.833: %CVAC-4-FILE_IGNORED: Configuration file varied:/ovf-env.xml is ignored: already found varied:/ovf-env.xml earlier
*Mar  2 05:10:06.834: %CVAC-4-FILE_IGNORED: Configuration file cdrom1:/ovf-env.xml is ignored: already found varied:/ovf-env.xml earlier
*Mar  2 05:10:06.945: %PKI-2-NON_AUTHORITATIVE_CLOCK: PKI functions can not be initialized until an authoritative time source, like NTP, can be obtained.
*Mar  2 05:10:07.782: %SMART_LIC-6-EXPORT_CONTROLLED: Usage of export controlled features is not allowed
*Mar  2 05:10:07.783: %CALL_HOME-6-CALL_HOME_ENABLED: Call-home is enabled by Smart Agent for Licensing.
