name,descr,pid,vid,sn
0/0,Cisco IOS-XRv 9000 Centralized Line Card,R-IOSXRV9000-LC-C,V01,06B08130FB9
0/0/0,N/A,PORT-1G-NIC,N/A,N
0/0/1,N/A,PORT-1G-NIC,N/A,N
0/0/2,N/A,PORT-1G-NIC,N/A,N
0/0/3,N/A,PORT-1G-NIC,N/A,N
0/0/4,N/A,PORT-1G-NIC,N/A,N
0/0/5,N/A,PORT-1G-NIC,N/A,N
0/0/6,N/A,PORT-1G-NIC,N/A,N
0/RP0,Cisco IOS-XRv 9000 Centralized Route Processor,R-IOSXRV9000-RP-C,V01,86BBCBE65F1
Rack 0,Cisco IOS-XRv 9000 Centralized Virtual Router,R-IOSXRV9000-CC,V01,07DB884D057
